watch,0.6077,0.6131,1.5278,2.9366,3.3632,6.5133,4.1273
usb_hub,0.6906,0.5003,1.1464,3.5817,3.9931,7.7834,4.5967
nail_clipper,0.7735,0.424,0.9431,2.715,2.9901,5.8449,3.4842
case,0.8085,0.7946,3.6278,4.4151,7.2757,14.3746,-10.1672
key,0.4352,0.4252,1.0712,1.4431,1.7209,3.303,2.2567
pen,0.8035,0.1889,0.4075,2.3402,2.4303,4.8156,2.6343
toothbrush,0.458,-0.256,-0.5015,0.6019,0.6538,1.2816,0.4031
spatula,0.5077,0.0222,0.0742,0.571,0.6374,1.2416,0.6746
paintbrush,0.8401,-0.1475,-0.2892,2.7118,2.7579,5.4928,2.619
mouse,0.7938,0.7519,2.2792,3.9701,5.3461,10.0046,6.4953
watch,0.6252,0.5916,1.4482,2.8163,3.2119,6.226,3.9381
watch,0.5841,0.574,1.3848,2.9399,3.2564,6.3558,3.9503
watch,0.6118,0.6128,1.5265,2.9061,3.3319,6.4509,4.0951
watch,0.6337,0.6294,1.5814,3.2942,3.766,7.2982,4.5714
watch,0.6098,0.5724,1.3859,2.6517,2.9747,5.7879,3.67
watch,0.5912,0.5707,1.3802,2.7548,3.0672,5.9782,3.7592
usb_hub,0.7464,0.5576,1.3106,3.7484,4.1051,8.0327,4.7606
usb_hub,0.7281,0.5332,1.2381,3.4797,3.8895,7.5811,4.5431
usb_hub,0.7291,0.5313,1.2321,3.4313,3.8042,7.4258,4.4406
usb_hub,0.7298,0.526,1.2201,3.3279,3.6934,7.2058,4.3218
usb_hub,0.7116,0.5241,1.2158,3.2773,3.6146,7.0607,4.2265
usb_hub,0.6973,0.5387,1.2576,3.0664,3.3921,6.6215,4.0214
usb_hub,0.7216,0.5433,1.269,3.4751,3.9686,7.7124,4.683
nail_clipper,0.6498,0.3138,0.7103,2.5697,3.1312,6.1012,4.4038
nail_clipper,0.9214,0.3444,0.7514,3.5167,3.6918,7.2961,4.0681
nail_clipper,0.6041,0.329,0.7279,1.6643,1.8074,3.5435,2.1772
nail_clipper,0.9366,0.3299,0.7191,4.1484,4.4163,8.6986,4.7763
nail_clipper,0.8693,0.4089,0.9028,3.2284,3.6339,7.0873,4.2027
case,0.8063,0.787,2.931,4.4855,6.2956,11.893,7.9687
case,0.8018,0.7956,3.6899,4.9857,8.0997,14.6702,9.9452
case,0.7973,0.7957,3.8968,4.3841,7.6291,-13.6438,-9.5788
case,0.8148,0.7841,2.8274,4.386,6.1047,11.8373,8.0244
case,0.8265,0.7937,3.3632,5.5797,7.6715,-14.7226,-9.4795
key,0.4686,0.429,1.0595,1.5625,1.8613,3.5731,2.3917
key,0.4374,0.4258,1.0876,1.3654,1.6287,3.1258,2.1727
key,0.4437,0.4218,1.0531,1.5276,1.8351,3.5165,2.3617
key,0.446,0.4285,1.0853,1.4491,1.7334,3.3247,2.2762
key,0.4567,0.436,1.0973,1.5114,1.8168,3.4809,2.3656
pen,0.7934,0.1133,0.2477,2.0482,2.1167,4.1992,2.2406
pen,0.7899,0.1063,0.2336,1.9503,2.0208,4.0064,2.1411
pen,0.7862,0.1792,0.3877,2.0986,2.1885,4.3321,2.3853
pen,0.816,0.1632,0.353,2.3545,2.4392,4.8361,2.6158
toothbrush,0.5077,-0.0927,-0.1714,2.6994,2.7135,5.4221,2.7112
toothbrush,0.4997,-0.1438,-0.2754,1.9984,1.9022,3.8527,1.7743
toothbrush,0.5212,-0.0862,-0.1572,0.9231,0.9791,1.9301,0.9005
toothbrush,0.5407,-0.0517,-0.0871,1.1476,1.2133,2.3937,1.1697
toothbrush,0.4807,-0.1072,-0.199,0.5638,0.6091,1.1955,0.5099
spatula,0.5199,0.0595,0.1519,0.6882,0.7613,1.486,0.8373
spatula,0.5091,0.0254,0.0809,0.5738,0.6405,1.2476,0.681
spatula,0.5088,0.0312,0.0934,0.5732,0.6401,1.2468,0.6869
spatula,0.5299,0.0378,0.1042,0.7712,0.8457,1.6542,0.8981
spatula,0.5134,0.0272,0.0842,0.5984,0.6655,1.2974,0.7077
paintbrush,0.7656,-0.0591,-0.1089,1.5296,1.5594,3.1038,1.5052
paintbrush,0.8149,-0.061,-0.1132,2.2317,2.3387,4.6243,2.306
paintbrush,0.8091,-0.0686,-0.1286,2.1004,2.1732,4.3102,2.1225
paintbrush,0.8208,-0.0644,-0.1199,1.6198,1.6604,3.3005,1.6043
paintbrush,0.7569,-0.0718,-0.1347,1.283,1.3109,2.6078,1.244
mouse,0.7987,0.7509,2.2617,3.9515,5.4147,10.4408,7.0066
mouse,0.7907,0.7505,2.2632,3.8562,5.293,10.3123,7.0091
mouse,0.7955,0.7534,2.2961,3.9202,5.3855,10.0763,6.625
mouse,0.7992,0.7523,2.2776,3.931,5.3765,10.5054,7.1294
mouse,0.7952,0.7531,2.2887,3.9215,5.4051,10.4001,6.9912
